,AccountID,AccountType,Industry,BusinessType,Country,Internal_External,f_parent
539,0012e0000037tRCAAY,Business Organization,Education,Not for profit,Australia,Internal,0
540,0012e0000037tRDAAY,Business Organization,Education,Not for profit,Australia,Internal,0
541,0012e0000037tREAAY,Business Organization,Education,Not for profit,Australia,Internal,0
542,0012e0000037tRFAAY,Business Organization,Education,Not for profit,Australia,Internal,0
543,0012e0000037tRGAAY,Business Organization,Education,Not for profit,Australia,Internal,0
544,0012e0000037tRHAAY,Business Organization,Education,Not for profit,Australia,Internal,0
545,0012e0000037tRIAAY,Business Organization,Education,Not for profit,Australia,Internal,0
546,0012e0000037tRJAAY,Business Organization,Education,Not for profit,Australia,Internal,0
547,0012e0000037tRKAAY,Business Organization,Education,Not for profit,Australia,Internal,0
548,0012e0000037tRLAAY,Business Organization,Education,Not for profit,Australia,Internal,0
549,0012e0000037tRMAAY,Business Organization,Education,Not for profit,Australia,Internal,0
550,0012e0000037tRNAAY,Business Organization,Education,Not for profit,Australia,Internal,0
551,0012e0000037tROAAY,Business Organization,Education,Not for profit,Australia,Internal,0
552,0012e0000037tRPAAY,Business Organization,Education,Not for profit,Australia,Internal,0
553,0012e0000037tRQAAY,Business Organization,Education,Not for profit,Australia,Internal,0
554,0012e0000037tRRAAY,Business Organization,Education,Not for profit,Australia,Internal,0
555,0012e0000037tRSAAY,Business Organization,Education,Not for profit,Australia,Internal,0
556,0012e0000037tRTAAY,Business Organization,Education,Not for profit,Australia,Internal,0
557,0012e0000037tRUAAY,Business Organization,Education,Not for profit,Australia,Internal,0
558,0012e0000037tRVAAY,Business Organization,Education,Not for profit,Australia,Internal,0
559,0012e0000037tRWAAY,Business Organization,Education,Not for profit,Australia,Internal,0
560,0012e0000037tRXAAY,Business Organization,Education,Not for profit,Australia,Internal,0
561,0012e0000037tRYAAY,Business Organization,Education,Not for profit,Australia,Internal,0
562,0012e0000037tRZAAY,Business Organization,Education,Not for profit,Australia,Internal,0
563,0012e0000037tRaAAI,Business Organization,Education,Not for profit,Australia,Internal,0
564,0012e0000037tRbAAI,Business Organization,Education,Not for profit,Australia,Internal,0
565,0012e0000037tRcAAI,Business Organization,Education,Not for profit,Australia,Internal,0
566,0012e0000037tRdAAI,Business Organization,Education,Not for profit,Australia,Internal,0
567,0012e0000037tReAAI,Business Organization,Education,Not for profit,Australia,Internal,0
568,0012e0000037tRfAAI,Business Organization,Education,Not for profit,Australia,Internal,0
569,0012e0000037tRgAAI,Business Organization,Education,Not for profit,Australia,Internal,0
570,0012e0000037tRhAAI,Business Organization,Education,Not for profit,Australia,Internal,0
571,0012e0000037tRiAAI,Business Organization,Education,Not for profit,Australia,Internal,0
572,0012e0000037tRjAAI,Business Organization,Education,Not for profit,Australia,Internal,0
573,0012e0000037tRkAAI,Business Organization,Education,Not for profit,Australia,Internal,0
574,0012e0000037tRlAAI,Business Organization,Education,Not for profit,Australia,Internal,0
575,0012e0000037tRmAAI,Business Organization,Education,Not for profit,Australia,Internal,0
576,0012e0000037tRnAAI,Business Organization,Education,Not for profit,Australia,Internal,0
577,0012e0000037tRoAAI,Business Organization,Education,Not for profit,Australia,Internal,0
578,0012e0000037tRpAAI,Business Organization,Education,Not for profit,Australia,Internal,0
579,0012e0000037tRqAAI,Business Organization,Education,Not for profit,Australia,Internal,0
580,0012e0000037tRrAAI,Business Organization,Education,Not for profit,Australia,Internal,0
581,0012e0000037tRsAAI,Business Organization,Education,Not for profit,Australia,Internal,0
582,0012e0000037tRtAAI,Business Organization,Education,Not for profit,Australia,Internal,0
583,0012e0000037tRuAAI,Business Organization,Education,Not for profit,Australia,Internal,0
584,0012e0000037tRvAAI,Business Organization,Education,Not for profit,Australia,Internal,0
585,0012e0000037tRwAAI,Business Organization,Education,Not for profit,Australia,Internal,0
586,0012e0000037tRxAAI,Business Organization,Education,Not for profit,Australia,Internal,0
587,0012e0000037tRyAAI,Business Organization,Education,Not for profit,Australia,Internal,0
