id,emails,calls,meetings,tasks,events,other,total_contacts,first_contact,first_month,three_month
0062e000002HGs3AAG,2,0,0,0,0,0,2,151,0,0
0062e000002HGs6AAG,5,0,0,0,0,0,5,91,0,0
0062e000002HGsaAAG,39,0,0,0,0,0,39,-10,39,39
0062e000002HGsBAAW,75,0,0,0,0,0,75,-1,74,74
0062e000002HGsdAAG,1,0,0,0,0,0,1,83,0,1
0062e000002HGseAAG,7,0,0,0,0,0,7,279,0,0
0062e000002HGshAAG,5,0,0,0,0,0,5,48,0,5
0062e000002HGsiAAG,49,0,0,0,0,0,49,215,0,0
0062e000002HGt8AAG,8,0,0,0,0,0,8,8,3,3
0062e000002HGtbAAG,1,0,0,0,0,0,1,26,1,1
0062e000002HGtiAAG,15,0,0,0,0,0,15,24,1,9
0062e000002HGTiAAO,6,0,0,0,0,0,6,69,0,1
0062e000002HGtlAAG,1,0,0,0,0,0,1,172,0,0
0062e000002HGu1AAG,2,0,0,0,0,0,2,162,0,0
0062e000002HGu3AAG,1,0,0,0,0,0,1,155,0,0
0062e000002HGU7AAO,1,0,0,0,0,0,1,119,0,0
0062e000002HGu8AAG,2,0,0,0,0,0,2,203,0,0
0062e000002HGUbAAO,10,0,0,0,0,0,10,0,10,10
0062e000002HGUcAAO,4,0,0,0,0,0,4,0,4,4
0062e000002HGUDAA4,1,0,0,0,0,0,1,2,1,1
0062e000002HGUeAAO,1,0,0,0,0,0,1,0,1,1
0062e000002HGUgAAO,4,0,0,0,0,0,4,0,4,4
0062e000002HGUiAAO,3,0,0,0,0,0,3,1,3,3
0062e000002HGUjAAO,1,0,0,0,0,0,1,0,1,1
0062e000002HGUkAAO,1,0,0,0,0,0,1,0,1,1
0062e000002HGUlAAO,1,0,0,0,0,0,1,0,1,1
0062e000002HGUmAAO,68,0,0,0,0,0,68,0,68,68
0062e000002HGUUAA4,2,0,0,0,0,0,2,0,2,2
0062e000002HGUWAA4,5,0,0,0,0,0,5,0,5,5
0062e000002HGUXAA4,13,0,0,0,0,0,13,0,13,13
0062e000002HGUYAA4,21,0,0,0,0,0,21,0,21,21
0062e000002HGvUAAW,1,0,0,0,0,0,1,178,0,0
0062e000002HGWwAAO,1,0,0,0,0,0,1,164,0,0
0062e000002HGwzAAG,4,0,0,0,0,0,4,115,0,0
0062e000002HGx0AAG,218,0,0,0,0,0,218,700,0,0
0062e000002HGX7AAO,24,0,0,0,0,0,24,0,24,24
0062e000002HGX8AAO,6,0,0,0,0,0,6,1,6,6
0062e000002HGX9AAO,1,0,0,0,0,0,1,0,1,1
0062e000002HGXAAA4,1,0,0,0,0,0,1,1,1,1
0062e000002HGxaAAG,4,0,0,0,0,0,4,-7,4,4
0062e000002HGXaAAO,2,0,0,0,0,0,2,0,2,2
0062e000002HGXBAA4,4,0,0,0,0,0,4,0,4,4
0062e000002HGXCAA4,2,0,0,0,0,0,2,0,2,2
0062e000002HGXeAAO,5,0,0,0,0,0,5,1,5,5
0062e000002HGXFAA4,2,0,0,0,0,0,2,0,2,2
0062e000002HGXGAA4,9,0,0,0,0,0,9,1,9,9
0062e000002HGxgAAG,90,0,0,0,0,0,90,80,0,6
0062e000002HGXHAA4,4,0,0,0,0,0,4,1,4,4
0062e000002HGxJAAW,15,0,0,0,0,0,15,8,15,15
0062e000002HGXKAA4,4,0,0,0,0,0,4,0,4,4
0062e000002HGxKAAW,21,0,0,0,0,0,21,1,21,21
0062e000002HGXMAA4,4,0,0,0,0,0,4,0,4,4
0062e000002HGxMAAW,38,0,0,0,0,0,38,1,38,38
0062e000002HGxnAAG,81,0,0,0,0,0,81,431,0,0
0062e000002HGxpAAG,73,0,0,0,0,0,73,15,68,73
0062e000002HGXQAA4,2,0,0,0,0,0,2,0,2,2
0062e000002HGXUAA4,1,0,0,0,0,0,1,1,1,1
0062e000002HGXVAA4,8,0,0,0,0,0,8,0,8,8
0062e000002HGXXAA4,13,0,0,0,0,0,13,16,13,13
0062e000002HGXYAA4,7,0,0,0,0,0,7,0,7,7
0062e000002HGxyAAG,18,0,0,0,0,0,18,-15,18,18
0062e000002HGy8AAG,47,0,0,0,0,0,47,429,0,0
0062e000002HGybAAG,57,0,0,0,0,0,57,227,0,0
0062e000002HGycAAG,2,0,0,0,0,0,2,22,2,2
0062e000002HGyfAAG,34,0,0,0,0,0,34,-1,3,3
0062e000002HGyMAAW,2,0,0,0,0,0,2,386,0,0
0062e000002HGyOAAW,3,0,0,0,0,0,3,471,0,0
0062e000002HGyQAAW,9,0,0,0,0,0,9,201,0,0
0062e000002HGzcAAG,88,0,0,0,0,0,88,236,0,0
0062e000002HGzFAAW,7,0,0,0,0,0,7,-23,7,7
0062e000002HGzLAAW,13,0,0,0,0,0,13,411,0,0
0062e000002HGzuAAG,14,0,0,0,0,0,14,-2,14,14
0062e000002HH0cAAG,9,0,0,0,0,0,9,-18,9,9
0062e000002HH0dAAG,2,0,0,0,0,0,2,-18,2,2
0062e000002HH0iAAG,4,0,0,0,0,0,4,526,0,0
0062e000002HH11AAG,2,0,0,0,0,0,2,13,2,2
0062e000002HH1eAAG,3,0,0,0,0,0,3,116,0,0
0062e000002HH1hAAG,34,0,0,0,0,0,34,-49,30,31
0062e000002HH1KAAW,3,0,0,0,0,0,3,369,0,0
